# Name group ID	MW       Precursor   coll_fac        mole_diam       surf_tens accomod  mass_dens
PMD	5	28.0    --           1.000D10        1.000D10        0.D0      1.0     2.33D-06
PBC	4	12.0   --            1.000D10        1.000D10        0.D0      1.0     2.25D-06
PNA	1	23.0    --           1.000D10        1.000D10        0.D0      1.0     0.97D-06
PSO4	1	98.0    SULF         77.3d0          5.5d0           80.D-03   1.0    1.84D-06
PNH4	1	17.0	NH3          558.3d0         2.9d0           80.D-03   1.0    0.91D-06
PNO3	1	63.0    HNO3         475.9d0         3.3d0           80.D-03   1.0    1.50D-06
PHCL	1	36.5	HCL          344.7d0         3.339d0         80.D-03   1.0    1.15D-06
PBiA2D	2	186.0   BiA2D        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PBiA1D	2	170.0   BiA1D        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PBiA0D	2	168.0   BiA0D        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PAGLY	2	58.0	--           687.d0          8.39d0          30.D-03   1.0    1.30D-06
PAMGLY	2	72.0    MGLY         687.d0          8.39d0          30.D-03   1.0    1.30D-06
PBiMT	2	136.0   BiMT         687.d0          8.39d0          30.D-03   1.0    1.30D-06
PBiPER	2	168.0   BiPER        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PBiDER	2	136.0	BiDER        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PBiMGA	2	120.0   BiMGA        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PAnBlP	3	167.0   AnBlP        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PAnBmP	3	152.0	AnBmP        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PBiBlP	3	298.0   BiBlP        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PBiBmP	3	236.0   BiBmP        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PBiNGA	3	165.0   BiNGA        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PBiNIT3	3	272.0	BiNIT3       687.d0          8.39d0          30.D-03   1.0    1.30D-06
PBiNIT	3	215.0   BiNIT        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PAnClP	3	167.0   AnClP        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PSOAlP	3	392.0	SOAlP        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PSOAmP	3	392.0   SOAmP        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PSOAhP	3	392.0   SOAhP        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PPOAlP	3	280.0	POAlP        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PPOAmP	3	280.0   POAmP        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PPOAhP	3	280.0   POAhP        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PMonomer 3	278.0	Monomer      687.d0          8.39d0          80.D-03   1.0    1.84D-06
PDimer	3	432.0   Dimer        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PBiA3D	2	204.0   BiA3D        687.d0          8.39d0          30.D-03   1.0    1.30D-06
PH2O	0	18.0 	--           1.000D10        1.000D10        0.d0      1.0   1.00D-06
