30 	  1 ## Nb of species / initial method (0 for total mass, 1 for bin mass )  ID,group ID, emission,init mass(Nsizebin)
1         PMD   5           0.0 		5.91382257207e-16 5.81481000503e-12 6.5469424726e-07 0.150394171476 1.30960583687 1.78676152229 1.07002174854 ##MD;  table of species: 
2         PBC   4           0.0 		3.70283163398e-15 6.1401730922e-11 0.0153744360432 0.220083221793 0.843515992165 0.624725580215 0.0312604494393 ##BC ; ID,group ID,init mass,init gas,emission;
3         PNA   1           0.0 		9.05962816105e-17 4.45471296569e-13 4.23234993718e-08 0.00142551504541 0.122185088694 0.463657706976 0.0248505901545 ##Na ; micg/m^-3
4         PSO4  1           1.7216629566975E-05 	1.0621693412e-12 2.51451020006e-08 0.00195511663333 0.165135219693 3.2797396183 1.08144080639 0.0616511851549 ##SO4
5         PNH4   1           0.0	8.60751921128e-12 1.72809677679e-07 0.0115803396329 0.780958533287 0.850924491882 0.0343741178513 0.00148804776836 ##NH4
6         PNO3   1           0.0 		4.08259970969e-12 7.76404078806e-08 0.00537681253627 0.183640256524 0.145689919591 0.00693256594241 0.00026601247373 ##NO3
7         PHCL   1           0.0 		1.21632131281e-16 7.96222408752e-13 7.58435589887e-08 0.0025532306172 0.218745335937 0.785844743252 0.0420205518603 ##Cl
8         PBiA2D   2           0.0 		0.0 0.0 0.0 0.0 0.0 0.0 0.0 ## BiA2D
9         PBiA1D   2           0.0		1.70000420533e-13 3.11097836381e-09 0.000239889966906 0.027067091316 0.0356881357729 0.00126388540957 6.8415509304e-05 ## BiA1D
10        PBiA0D   2            0.0		2.95291308766e-12 5.17785139209e-08 0.00373264891095 0.435509443283 1.70179259777 0.189896702766 0.012012084946 ## BiA0D
11        PAGLY    2            0.0		6.42989724752e-17 5.11176654492e-16 1.16171574568e-15 2.13224145913e-14 2.96884749857e-13 8.90298983624e-14 6.01279170158e-15 ## GLYOXAL
12        PAMGLY   2            0.0		6.43032407272e-17 5.11187242404e-16 7.71123040367e-15 3.29417114246e-12 6.42694925057e-12 2.63978969977e-13 1.44255911199e-14 ## MGLY
13        PBiMT    2            0.0		9.02496532292e-17 2.12309705407e-12 3.27611957118e-07 5.02633483848e-05 0.00010233863577 9.64058472164e-06 5.80148878271e-07 ## BiMT
14        PBiPER   2            0.0		1.76526198173e-12 3.59382426041e-08 0.00230345316231 0.123101621866 0.113051958382 0.00528930267319 0.000262255896814 ## BiPER
15        PBiDER   2            0.0	1.05224843053e-13 3.96600530195e-09 0.0004692550865 0.0406863354146 0.0682814195752 0.00695510115474 0.000396480987547 ## BiDER
16        PBiMGA   2            0.0		 5.97606680938e-14 1.31010235993e-09 8.93445612746e-05 0.00474796351045 0.00394762866199 0.000126121929497 5.06083006258e-06 ## BiMGA
17        PAnBlP   3            0.0		1.25574218382e-14 3.83882980959e-10 4.06167418987e-05 0.0115467002615 0.0190492141992 0.0012389512267 8.07932228781e-05 ## AnBlP
18        PAnBmP   3            0.0		1.47543706853e-13 1.64576430262e-09 9.71314511844e-05 0.00570566114038 0.00536402780563 0.000192818784853 9.02282317838e-06 ## AnBMP
19        PBiBlP   3            0.0	2.04920089008e-14 3.71545127997e-10 2.72824399872e-05 0.0034929565154 0.0424189344049 0.00832103379071 0.000494618027005 ## BiBlP
20        PBiBmP   3            0.0		1.43726458686e-12 1.3813746591e-08 0.00097780150827 0.0425603017211 0.0346591919661 0.00150242354721 6.23350570095e-05 ## BiBmP
21        PBiNGA   3            0.0		5.32443428336e-15 3.42310874091e-10 2.74770427495e-05 0.00589258922264 0.00816686544567 0.000400694290875 2.47522584687e-05 ## BiNGA
22        PBiNIT3  3            0.0	1.09209080208e-15 1.55772103549e-10 1.79746893991e-05 0.00345024745911 0.00481949746609 0.000220006215386 1.21009670693e-05 ## NIT3
23        PBiNIT    3            0.0		3.04545234517e-13 6.72598376994e-09 0.000576474645641 0.100442916155 0.182760760188 0.0113450400531 0.000771872350015 ## BiNIT
24        PAnClP     3            0.0	3.83301424522e-15 8.27726151509e-11 6.71521047479e-06 0.00544697698206 0.0192144121975 0.00330412294716 0.000208180616028 ## AnClP
25        PSOAlP     3            0.0	3.64059436352e-14 9.07149022567e-10 8.32891528262e-05 0.0934789478779 0.499331772327 0.11021065712 0.00654964521527 ## SOAlP
26        PSOAmP     3            0.0		5.13501621866e-13 4.47616770316e-08 0.00366603210568 0.446798145771 0.743557572365 0.0539985448122 0.00317199085839 ## SOAmP
27        PSOAhP      3            0.0		4.00091028016e-12 5.4051920273e-08 0.00320525141433 0.17241075635 0.168752208352 0.00730455154553 0.00033628201345 ## SOAhP
28        PPOAlP      3            0.00091374465264	5.49477564143e-12 1.07055612375e-07 0.00780125614256 0.556008994579 0.852210462093 0.0666050314903 0.00415565958247 ## POAlP
29        PPOAmP      3           0.00116959311999	5.69759734184e-13 1.18432588181e-08 0.000892996380571 0.0659306943417 0.0811726078391 0.00356189976446 0.000208040422876 ## POAmP
30        PPOAhP      3           0.00157164083794	2.14457341181e-14 4.44614206563e-10 3.32924828399e-05 0.00239930301905 0.00291988137178 0.000127840001369 7.46147179598e-06 ##POAhP! DO NOT INPUT WATER
